Time_UTC,Time_From_Pass_Start_s,Azimuth_deg,Elevation_deg,Range_km,Radial_Velocity_mps,Azimuth_Rate_deg_per_s,Elevation_Rate_deg_per_s,Above_Minimum_Elevation,Source
13-Jul-2026 13:13:35,300,101.38200065161,22.4510667793352,1119.16418133256,5429.13931882908,0.200454414257427,-0.168532960388792,1,satelliteScenario
13-Jul-2026 13:13:40,305,102.354194104256,21.6215818320359,1146.52401829781,5511.7344687666,0.188893940956073,-0.163323540844051,1,satelliteScenario
13-Jul-2026 13:13:45,310,103.27094006117,20.8178313708947,1174.28152602023,5588.44600267024,0.178233190263518,-0.158249947981054,1,satelliteScenario
13-Jul-2026 13:13:50,315,104.136526006891,20.0390823522253,1202.40847832451,5659.72831831609,0.168391565354509,-0.153330371014307,1,satelliteScenario
13-Jul-2026 13:13:55,320,104.954855714716,19.2845276607516,1230.87880920339,5726.00484938356,0.159295680148903,-0.148577247835497,1,satelliteScenario
13-Jul-2026 13:14:00,325,105.72948280838,18.5533098738704,1259.66852681834,5787.66989055481,0.150878868592193,-0.143998441622314,1,satelliteScenario
13-Jul-2026 13:14:05,330,106.463644400637,17.8445432445285,1288.75550810893,5845.07766626116,0.143080935815832,-0.139597891810571,1,satelliteScenario
13-Jul-2026 13:14:10,335,107.160292166538,17.1573309557647,1318.11930348096,5898.55733738358,0.135847356693449,-0.135376757295091,1,satelliteScenario
13-Jul-2026 13:14:15,340,107.822117967572,16.4907756715776,1347.74108148277,5948.41510393056,0.129128756633394,-0.131334063455044,1,satelliteScenario
13-Jul-2026 13:14:20,345,108.451579732872,15.8439903212142,1377.60345452026,5994.92332495819,0.122880703903987,-0.12746694130045,1,satelliteScenario
13-Jul-2026 13:14:25,350,109.050925006612,15.2161062585731,1407.69031473235,6017.37204241836,0.11986905474794,-0.125576812528228,1,satelliteScenario
